"nixtamaliz*"  (All Fields) AND "corn" OR "maize"  (All Fields)
Timespan:2010-2023. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Isotopic Confirmation of the Timing and Intensity of Maize Consumption in Greater Cahokia","Emerson, Thomas E.; Hedman, Kristin M.; Simon, Mary L.; Fort, Mathew A.; Witt, Kelsey E.","","","","AMERICAN ANTIQUITY","APR 2020","2020","85","2","","","","241","262","PII S0002731620000074","10.1017/aaq.2020.7","","","21","5.25","0","0","0","0","0","0","0","0","0","0","1","15","5","0"
"In vitro digestibility, crystallinity, rheological, thermal, particle size and morphological characteristics of pinole, a traditional energy food obtained from toasted ground maize","Carrera, Y.; Utrilla-Coello, R.; Bello-Perez, A.; Alvarez-Ramirez, J.; Vernon-Carter, E. J.","","","","CARBOHYDRATE POLYMERS","JUN 5 2015","2015","123","","","","","246","255","","10.1016/j.carbpol.2015.01.044","","","21","2.33","0","0","0","0","0","1","1","3","4","3","1","6","2","0"
"Use of liquid chromatography-high-resolution mass spectrometry for isolation and characterization of hydrolyzed fumonisins and relevant analysis in maize-based products","De Girolamo, Annalisa; Lattanzio, Veronica M. T.; Schena, Roberto; Visconti, Angelo; Pascale, Michelangelo","","","","JOURNAL OF MASS SPECTROMETRY","APR 2014","2014","49","4","","","","297","305","","10.1002/jms.3342","","","21","2.10","0","0","0","0","1","3","2","5","4","0","3","2","1","0"
"Maize Genotype and Food Matrix Affect the Provitamin A Carotenoid Bioefficacy from Staple and Carrot-Fortified Feeds in Mongolian Gerbils (Meriones unguiculatus)","Schmaelzle, Samantha; Gannon, Bryan; Crawford, Serra; Arscott, Sara A.; Goltz, Shellen; Palacios-Rojas, Natalia; Pixley, Kevin V.; Simon, Philipp W.; Tanumihardjo, Sherry A.","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","JAN 8 2014","2014","62","1","","","","136","143","","10.1021/jf403548w","","","21","2.10","0","0","0","0","3","1","2","5","1","1","4","2","2","0"
"Survey of aflatoxins in maize tortillas from Mexico City","Castillo-Urueta, Pavel; Carvajal, Magda; Mendez, Ignacio; Meza, Florencia; Galvez, Amanda","","","","FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE","2011","2011","4","1","","","","42","51","PII 932840876","10.1080/19393210.2010.533390","","","21","1.62","0","0","0","0","0","0","0","1","2","6","3","7","2","0"
"Development and quality evaluation of gluten-free pasta with grape peels and whey powders","Ungureanu-Iuga, Madalina; Dimian, Mihai; Mironeasa, Silvia","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","AUG 2020","2020","130","","","","","","","109714","10.1016/j.lwt.2020.109714","","","20","5.00","0","0","0","0","0","0","0","0","0","0","1","11","8","0"
"Extrusion and nixtamalization conditions influence the magnitude of change in the nutrients and bioactive components of cereals and legumes","Kamau, Elijah Heka; Nkhata, Smith G.; Ayua, Emmanuel Owino","","","","FOOD SCIENCE & NUTRITION","APR 2020","2020","8","4","","","","1753","1765","","10.1002/fsn3.1473","","","20","5.00","0","0","0","0","0","0","0","0","0","0","4","8","8","0"
"Amylose lipid complexes formation as an alternative to reduce amylopectin retrogradation and staling of stored tortillas","Maria Mariscal-Moreno, Rosa; de Dios Figueroa-Cardenas, Juan; Santiago-Ramos, David; Rayas-Duarte, Patricia","","","","INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","MAY 2019","2019","54","5","","","SI","1651","1657","","10.1111/ijfs.14040","","","20","4.00","0","0","0","0","0","0","0","0","0","1","5","5","8","1"
"Changes on the phytochemicals profile of instant corn flours obtained by traditional nixtamalization and ohmic heating process","Ramirez-Jimenez, Aurea K.; Rangel-Hernandez, Jorge; Morales-Sanchez, Eduardo; Loarca-Pina, Guadalupe; Gaytan-Martinez, Marcela","","","","FOOD CHEMISTRY","MAR 15 2019","2019","276","","","","","57","62","","10.1016/j.foodchem.2018.09.166","","","20","4.00","0","0","0","0","0","0","0","0","0","3","7","6","4","0"
"The effect of different nixtamalisation processes on some physicochemical properties, nutritional composition and glycemic index","Mariscal Moreno, Rosa Maria; Figueroa, J. D. C.; Santiago-Ramos, David; Arambula Villa, Geronimo; Jimenez Sandoval, Sergio; Rayas-Duarte, Patricia; Juan Veles-Medina, Jose; Martinez Flores, Hector Eduardo","","","","JOURNAL OF CEREAL SCIENCE","SEP 2015","2015","65","","","","","140","146","","10.1016/j.jcs.2015.06.016","","","20","2.22","0","0","0","0","0","0","0","3","3","5","1","4","4","0"
"CONTENT AND TYPE VARIABILITY OF ANTHOCYANINS IN BLUE/PURPLE COLORED GRAINS OF MEXICAN MAIZE POPULATIONS","Salinas Moreno, Yolanda; Garcia Salinas, Carolina; Contino Estrada, Bulrnaro; Vidal Martinez, Victor A.","","","","REVISTA FITOTECNIA MEXICANA","OCT 2013","2013","36","","","3A","","285","294","","","","","20","1.82","0","0","0","0","1","2","0","3","1","2","4","3","4","0"
"Factors Affecting the Alkaline Cooking Performance of Selected Corn and Sorghum Hybrids","Johnson, Weston B.; Ratnayake, Wajira S.; Jackson, David S.; Lee, Kyung-Min; Herrman, Timothy J.; Bean, Scott R.; Mason, Stephen C.","","","","CEREAL CHEMISTRY","NOV-DEC 2010","2010","87","6","","","","524","531","","10.1094/CCHEM-06-10-0087","","","20","1.43","0","2","3","0","1","0","0","1","1","5","4","1","2","0"
"Alkali-Extracted Feruloylated Arabinoxylans from Nixtamalized Maize Bran Byproduct: A Synonymous with Soluble Antioxidant Dietary Fiber","Herrera-Balandrano, Daniela D.; Baez-Gonzalez, Juan G.; Carvajal-Millan, Elizabeth; Muy-Rangel, Dolores; Urias-Orona, Vania; Martinez-Lopez, Ana L.; Marquez-Escalante, Jorge A.; Heredia, Jose B.; Beta, Trust; Nino-Medina, Guillermo","","","","WASTE AND BIOMASS VALORIZATION","FEB 2020","2020","11","2","","","","403","409","","10.1007/s12649-018-0462-z","","","19","4.75","0","0","0","0","0","0","0","0","0","5","3","6","5","0"
"Physicochemical properties of ready-to-eat extruded nixtamalized maize-based snacks enriched with grasshopper","Cuj-Laines, Rubi; Hernandez-Santos, Betsabe; Reyes-Jaquez, Damian; Delgado-Licon, Efren; Juarez-Barrientos, Jose M.; Rodriguez-Miranda, Jesus","","","","INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","AUG 2018","2018","53","8","","","","1889","1895","","10.1111/ijfs.13774","","","19","3.17","0","0","0","0","0","0","0","0","0","4","4","5","5","1"
"Changes in chemical, viscoelastic, and textural properties of nixtamalized dough with nejayote","Valderrama-Bravo, C.; Lopez-Ramirez, Y.; Jimenez-Ambriz, S.; Oaxaca-Luna, A.; Dominguez-Pacheco, A.; Hernandez-Aguilar, C.; Moreno-Martinez, E.","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","MAY 2015","2015","61","2","","","","496","502","","10.1016/j.lwt.2014.12.038","","","19","2.11","0","0","0","0","0","1","0","3","3","3","4","2","3","0"
"RECOVERY OF CARBOHYDRATES FROM NIXTAMALIZATION WASTEWATERS (NEJAYOTE) BY ULTRAFILTRATION","Castro-Munoz, R.; Ceron-Montes, G. I.; Barragan-Huerta, B. E.; Yanez-Fernandez, J.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","2015","2015","14","3","","","","735","744","","","","","19","2.11","0","0","0","0","0","0","1","2","3","3","7","0","3","0"
"Stone-boiling maize with limestone: experimental results and implications for nutrition among SE Utah preceramic groups","Ellwood, Emily C.; Scott, M. Paul; Lipe, William D.; Matson, R. G.; Jones, John G.","","","","JOURNAL OF ARCHAEOLOGICAL SCIENCE","JAN 2013","2013","40","1","","","","35","44","","10.1016/j.jas.2012.05.044","","","19","1.73","0","0","0","1","1","1","3","2","1","4","2","3","1","0"
"Colored Corn: An Up-Date on Metabolites Extraction, Health Implication, and Potential Use","Colombo, Raffaella; Ferron, Lucia; Papetti, Adele","","","","MOLECULES","JAN 2021","2021","26","1","","","","","","199","10.3390/molecules26010199","","","18","6.00","0","0","0","0","0","0","0","0","0","0","0","8","10","0"
"Anticarcinogenic Effect of Corn Tortilla Against 1,2-Dimethylhydrazine (DMH)-Induced Colon Carcinogenesis in Sprague-Dawley Rats","Reynoso-Camacho, Rosalia; Guerrero-Villanueva, Guadalupe; de Dios Figueroa, Juan; Gallegos-Corona, Marco A.; Mendoza, Sandra; Loarca-Pina, Guadalupe; Ramos-Gomez, Minerva","","","","PLANT FOODS FOR HUMAN NUTRITION","JUN 2015","2015","70","2","","","","146","152","","10.1007/s11130-015-0471-z","","","18","2.00","0","0","0","0","0","0","3","3","2","4","2","4","0","0"
"Nutraceutical Properties of Flour and Tortillas Made with an Ecological Nixtamalization Process","Rodriguez Mendez, Lilia Irene; Figueroa Cardenas, Juan de Dios; Ramos Gomez, Minerva; Mendez Lagunas, Lilia Leticia","","","","JOURNAL OF FOOD SCIENCE","OCT 2013","2013","78","10","","","","C1529","C1534","","10.1111/1750-3841.12241","","","18","1.64","0","0","0","0","1","3","2","1","2","3","3","0","3","0"
"Maize Prolamins Resistant to Peptic-tryptic Digestion Maintain Immune-recognition by IgA from Some Celiac Disease Patients","Cabrera-Chavez, Francisco; Iametti, Stefania; Miriani, Matteo; Calderon de la Barca, Ana M.; Mamone, Gianfranco; Bonomi, Francesco","","","","PLANT FOODS FOR HUMAN NUTRITION","MAR 2012","2012","67","1","","","","24","30","","10.1007/s11130-012-0274-4","","","18","1.50","0","0","0","3","2","2","2","1","3","1","1","2","1","0"
"Effect of the nixtamalization process on the protein bioaccessibility of white and red sorghum flours during in vitro gastrointestinal digestion","Cabrera-Ramirez, A. H.; Luzardo-Ocampo, I.; Ramirez-Jimenez, A. K.; Morales-Sanchez, E.; Campos-Vega, R.; Gaytan-Martinez, M.","","","","FOOD RESEARCH INTERNATIONAL","AUG 2020","2020","134","","","","","","","109234","10.1016/j.foodres.2020.109234","1st International Congress on Bioactive Compounds (ICBC)","NOV 22-23, 2018","17","4.25","0","0","0","0","0","0","0","0","0","0","3","9","5","0"
"A Review of the Primary By-product (Nejayote) of the Nixtamalization During Maize Processing: Potential Reuses","Castro-Munoz, Roberto; Fila, Vlastimil; Duran-Paramo, Enrique","","","","WASTE AND BIOMASS VALORIZATION","JAN 2019","2019","10","1","","","","13","22","","10.1007/s12649-017-0029-4","","","17","3.40","0","0","0","0","0","0","0","0","0","2","5","6","4","0"
"Enhancing Biochemical Methane Potential and Enrichment of Specific Electroactive Communities from Nixtamalization Wastewater using Granular Activated Carbon as a Conductive Material","Valero, David; Rico, Carlos; Canto-Canche, Blondy; Arturo Dominguez-Maldonado, Jorge; Tapia-Tussell, Raul; Cortes-Velazquez, Alberto; Alzate-Gaviria, Liliana","","","","ENERGIES","AUG 2018","2018","11","8","","","","","","2101","10.3390/en11082101","","","17","2.83","0","0","0","0","0","0","0","0","0","3","5","5","3","1"
"EFFECT OF MOISTURE CONTENT AND TEMPERATURE, ON THE RHEOLOGICAL, MICROSTRUCTURAL AND THERMAL PROPERTIES OF MASA (DOUGH) FROM A HYBRID CORN. (Zea mays sp.) VARIETY","Estrada-Giron, Y.; Aguilar, J.; Morales-del Rio, J. A.; Valencia-Botin, A. J.; Guerrero-Beltran, J. A.; Martinez-Preciado, A. H.; Macias, E. R.; Soltero, J. F. A.; Solorza-Feria, J.; Fernandez, V. V. A.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","AUG 2014","2014","13","2","","","","429","446","","","","","17","1.70","0","0","0","0","0","2","3","1","2","0","4","3","2","0"
"STUDY OF NEJAYOTE AS CULTURE MEDIUM FOR PROBIOTICS AND PRODUCTION OF BACTERIOCINS","Ramirez-Romero, G.; Reyes-Velazquez, M.; Cruz-Guerrero, A.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","DEC 2013","2013","12","3","","","","463","471","","","","","17","1.55","0","0","0","0","1","2","1","1","0","3","5","1","3","0"
"Effect of calcium content in the corn flour on RVA profiles","Fernandez-Munoz, J. L.; Acosta-Osorio, A. A.; Zelaya-Angel, O.; Rodriguez-Garcia, M. E.","","","","JOURNAL OF FOOD ENGINEERING","JAN 2011","2011","102","1","","","","100","103","","10.1016/j.jfoodeng.2010.07.013","","","17","1.31","0","2","0","1","1","2","1","2","1","3","1","1","2","0"
"Fermented non-digestible fraction from combined nixtamalized corn (Zea mays L.)/cooked common bean (Phaseolus vulgaris L.) chips modulate anti-inflammatory markers on RAW 264.7 macrophages","Luzardo-Ocampo, I.; Campos-Vega, R.; Cuellar-Nunez, M. L.; Vazquez-Landaverde, P. A.; Mojica, L.; Acosta-Gallegos, J. A.; Loarca-Pina, G.","","","","FOOD CHEMISTRY","SEP 1 2018","2018","259","","","","","7","17","","10.1016/j.foodchem.2018.03.096","","","16","2.67","0","0","0","0","0","0","0","0","1","3","7","2","3","0"
"Third generation snacks manufactured from orange by-products: physicochemical and nutritional characterization","Tovar-Jimenez, Xochitl; Caro-Corrales, Jose; Gomez-Aldapa, Carlos A.; Zazueta-Morales, Jose; Limon-Valenzuela, Victor; Castro-Rosas, Javier; Hernandez-Avila, Juan; Aguilar-Palazuelos, Ernesto","","","","JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE","OCT 2015","2015","52","10","","","","6607","6614","","10.1007/s13197-015-1726-2","","","16","1.78","0","0","0","0","0","0","1","2","2","2","3","4","2","0"
"Physico-chemical properties and quality assessment of corn flour processed by a continuous ohmic heating system and traditional nixtamalization","Menera-Lopez, I.; Gaytan-Martinez, M.; Reyes-Vega, M. L.; Morales-Sanchez, E.; Figueroa, J. D. C.","","","","CYTA-JOURNAL OF FOOD","MAY 1 2013","2013","11","","","1","SI","8","14","","10.1080/19476337.2012.762692","","","16","1.45","0","0","0","0","3","1","2","0","3","4","2","1","0","0"
"The Effects of Food Processing on the Archaeological Visibility of Maize: An Experimental Study of Carbonization of Lime-treated Maize Kernels","Dezendorf, Caroline","","","","ETHNOBIOLOGY LETTERS","2013","2013","4","","","","","12","20","","","","","16","1.45","0","0","0","1","1","1","2","3","1","1","3","1","2","0"
"Hardwood ash nixtamalization may lead to false negatives for the presence of maize by depleting bulk delta C-13 in carbonized residues","Lovis, William A.; Urquhart, Gerald R.; Raviele, Maria E.; Hart, John P.","","","","JOURNAL OF ARCHAEOLOGICAL SCIENCE","OCT 2011","2011","38","10","","","","2726","2730","","10.1016/j.jas.2011.06.010","","","16","1.23","0","0","1","3","3","2","0","1","2","1","1","2","0","0"
"Kinetics of water diffusion in corn grain during the alkaline cooking at different temperatures and calcium hydroxide concentration","Fernandez-Munoz, J. L.; Acosta-Osorio, A. A.; Gruintal-Santos, M. A.; Zelaya-Angel, O.","","","","JOURNAL OF FOOD ENGINEERING","SEP 2011","2011","106","1","","","","60","64","","10.1016/j.jfoodeng.2011.04.008","","","16","1.23","0","0","1","1","3","0","1","4","3","0","1","1","1","0"
"Defatted coconut flour improved the bioactive components, dietary fibre, antioxidant and sensory properties of nixtamalized maize flour","Adeloye, Jumoke Bukola; Osho, Halimat; Idris, Lydia Olayemi","","","","JOURNAL OF AGRICULTURE AND FOOD RESEARCH","DEC 2020","2020","2","","","","","","","100042","10.1016/j.jafr.2020.100042","","","15","3.75","0","0","0","0","0","0","0","0","0","0","1","9","5","0"
"Phenolic Acids Profiles and Cellular Antioxidant Activity in Tortillas Produced from Mexican Maize Landrace Processed by Nixtamalization and Lime Extrusion Cooking","Gaxiola-Cuevas, Nallely; Mora-Rochin, Saraid; Oliva Cuevas-Rodriguez, Edith; Len-Lopez, Liliana; Reyes-Moreno, Cuauhtemoc; Montoya-Rodriguez, Alvaro; Milan-Carrillo, Jorge","","","","PLANT FOODS FOR HUMAN NUTRITION","SEP 2017","2017","72","3","","","","314","320","","10.1007/s11130-017-0624-3","","","15","2.14","0","0","0","0","0","0","0","0","0","1","7","7","0","0"
"Fortification of Commercial Nixtamalized Maize (Zea mays L.) with Common Bean (Phaseolus vulgaris L.) Increased the Nutritional and Nutraceutical Content of Tortillas without Modifying Sensory Properties","Trevino-Mejia, Daniela; Luna-Vital, Diego A.; Gaytan-Martinez, Marcela; Mendoza, Sandra; Loarca-Pina, Guadalupe","","","","JOURNAL OF FOOD QUALITY","DEC 2016","2016","39","6","","","","569","579","","10.1111/jfq.12251","","","15","1.88","0","0","0","0","0","0","0","1","2","3","3","3","3","0"
"Protein extraction method for the proteomic study of a Mexican traditional fermented starchy food","Cardenas, C.; Barkla, B. J.; Wacher, C.; Delgado-Olivares, L.; Rodriguez-Sanoja, R.","","","","JOURNAL OF PROTEOMICS","DEC 5 2014","2014","111","","","","SI","139","147","","10.1016/j.jprot.2014.06.028","","","15","1.50","0","0","0","0","0","1","2","2","0","0","3","5","2","0"
"Cricket (Acheta domesticus) protein hydrolysates' impact on the physicochemical, structural and sensory properties of tortillas and tortilla chips","Luna, G. Calzada; San Martin-Gonzalez, F.; Mauer, L. J.; Liceaga, A. M.","","","","JOURNAL OF INSECTS AS FOOD AND FEED","2021","2021","7","1","","","","109","120","","10.3920/JIFF2020.0010","","","14","4.67","0","0","0","0","0","0","0","0","0","0","1","6","6","1"
"Comparison of nutritional properties and bioactive compounds between industrial and artisan fresh tortillas from maize landraces","Colin-Chavez, Citlali; Virgen-Ortiz, Jose J.; Serrano-Rubio, Luis E.; Martinez-Tellez, Miguel A.; Astier, Marta","","","","CURRENT RESEARCH IN FOOD SCIENCE","NOV 2020","2020","3","","","","","189","194","","10.1016/j.crfs.2020.05.004","","","14","3.50","0","0","0","0","0","0","0","0","0","0","0","4","10","0"
"The experimental identification of nixtamalized maize through starch spherulites","Johnson, Emily S.; Marston, John M.","","","","JOURNAL OF ARCHAEOLOGICAL SCIENCE","JAN 2020","2020","113","","","","","","","105056","10.1016/j.jas.2019.105056","","","14","3.50","0","0","0","0","0","0","0","0","0","0","2","7","5","0"
"Aflatoxin B1 in nixtamalized maize in Mexico; occurrence and accompanying risk assessment","Sandoval, Ixchel Gilbert; Wesseling, Sebastiaan; Rietjens, Ivonne M. C. M.","","","","TOXICOLOGY REPORTS","2019","2019","6","","","","","1135","1142","","10.1016/j.toxrep.2019.10.008","","","14","2.80","0","0","0","0","0","0","0","0","0","0","1","9","4","0"
"Risk assessment of exposure to mycotoxins (aflatoxins and fumonisins) through corn tortilla intake in Veracruz City (Mexico)","Wall-Martinez, H. A.; Ramirez-Martinez, A.; Wesolek, N.; Brabet, C.; Durand, N.; Rodriguez-Jimenes, G. C.; Garcia-Alvarado, M. A.; Salgado-Cervantes, M. A.; Robles-Olvera, V. J.; Roudot, A. C.","","","","FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT","2019","2019","36","6","","","","929","939","","10.1080/19440049.2019.1588997","","","14","2.80","0","0","0","0","0","0","0","0","0","0","2","7","5","0"
"Viscoelastic behaviour of masa from corn flours obtained by nixtamalization with different calcium sources","Santiago-Ramos, David; de Dios Figueroa-Cardenas, Juan; Juan Veles-Medina, Jose","","","","FOOD CHEMISTRY","MAY 15 2018","2018","248","","","","","21","28","","10.1016/j.foodchem.2017.12.041","","","14","2.33","0","0","0","0","0","0","0","0","1","6","3","3","1","0"
"NUTRACEUTIC ASPECTS OF PIGMENTED MAIZE: DIGESTIBILITY OF CARBOHYDRATES AND ANTHOCYANINS","Arturo Bello-Perez, L.; Camelo-Mendez, Gustavo A.; Agama-Acevedo, Edith; Utrilla-Coello, Rubi G.","","","","AGROCIENCIA","DEC 31 2016","2016","50","8","","","","1041","1063","","","","","14","1.75","0","0","0","0","0","0","0","3","3","1","4","0","3","0"
"DEVELOPMENT OF EXTRUDED READY-TO-EAT SNACKS USING PUMPKIN SEED (Cucurbita pepo) AND NIXTAMALIZED MAIZE (Zea mays) FLOUR BLENDS","Navarro-Cortez, R. O.; Hernandez-Santos, B.; Gomez-Aldapa, C. A.; Castro-Rosas, J.; Ferman-Lara, E.; Martinez-Sanchez, C. E.; Juarez-Barrientos, J. M.; Antonio-Cisneros, C. M.; Rodriguez-Miranda, J.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","AUG 2016","2016","15","2","","","","409","422","","","","","14","1.75","0","0","0","0","0","0","0","1","5","1","1","4","2","0"
"Corn proteins solubility changes during extrusion and traditional nixtamalization for tortilla processing: A study using size exclusion chromatography","Denise Chaidez-Laguna, Leslie; Torres-Chavez, Patricia; Ramirez-Wong, Benjamin; Marquez-Rios, Enrique; Rosa Islas-Rubio, Alma; Carvajal-Millan, Elizabeth","","","","JOURNAL OF CEREAL SCIENCE","MAY 2016","2016","69","","","","","351","357","","10.1016/j.jcs.2016.04.004","","","14","1.75","0","0","0","0","0","0","0","1","3","4","4","2","0","0"
"Physicochemical, morphological, and pasting properties of nixtamalized flours from quality protein maize and its particle distribution","de los Angeles Cornejo-Villegas, Maria; Gutierrez-Cortez, Elsa; Rojas-Molina, Isela; Del Real-Lopez, Alicia; de la Luz Zambrano-Zaragoza, Maria; Martinez-Vega, Viridiana; Rodriguez-Garcia, Mario E.","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","SEP 2013","2013","53","1","","","","81","87","","10.1016/j.lwt.2013.01.023","","","14","1.27","0","0","0","0","2","3","1","0","2","2","3","0","1","0"
"Physico-mechanic treatment of nixtamalization by-product (nejayote)","Valderrama-Bravo, C.; Gutierrez-Cortez, E.; Contreras-Padilla, M.; Oaxaca-Luna, A.; Del Real Lopez, A.; Espinosa-Arbelaez, D. G.; Rodriguez-Garcia, M. E.","","","","CYTA-JOURNAL OF FOOD","MAY 1 2013","2013","11","","","1","SI","75","83","","10.1080/19476337.2013.781680","","","14","1.27","0","0","0","0","0","1","1","0","2","1","5","3","1","0"
"Emerging techniques assisting nixtamalization products and by-products processing: an overview","Ramirez-Jimenez, Aurea K.; Castro-Munoz, Roberto","","","","CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION","NOV 13 2021","2021","61","20","","","","3407","3420","","10.1080/10408398.2020.1798352","","","13","3.25","0","0","0","0","0","0","0","0","0","0","0","6","7","0"
"Development of a Paper-Based Sensor Compatible with a Mobile Phone for the Detection of Common Iron Formulas Used in Fortified Foods within Resource-Limited Settings","Waller, Anna W.; Toc, Marco; Rigsby, Dylan J.; Gaytan-Martinez, Marcela; Andrade, Juan E.","","","","NUTRIENTS","JUL 2019","2019","11","7","","","","","","1673","10.3390/nu11071673","","","13","2.60","0","0","0","0","0","0","0","0","0","0","2","6","3","2"
"Retention profile on the physicochemical properties of maize cooking by-product using a tight ultrafiltration membrane","Castro-Munoz, Roberto","","","","CHEMICAL ENGINEERING COMMUNICATIONS","JUL 2 2020","2020","207","7","","","","887","895","","10.1080/00986445.2019.1618844","","","13","2.60","0","0","0","0","0","0","0","0","0","0","5","6","2","0"
"Alternative technologies to the traditional nixtamalization process: Review","Ramirez-Araujo, Hugo; Gaytan-Martinez, M.; Reyes-Vega, M. L.","","","","TRENDS IN FOOD SCIENCE & TECHNOLOGY","MAR 2019","2019","85","","","","","34","43","","10.1016/j.tifs.2018.12.007","","","13","2.60","0","0","0","0","0","0","0","0","0","1","3","5","4","0"
"A novel, simple, economic and effective method for retarding maize tortilla staling","Alvarez-Ramirez, Jose; Garcia-Diaz, Samuel; Jaime Vernon-Carter, Eduardo; Arturo Bello-Perez, Luis","","","","JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","SEP 2018","2018","98","12","","","","4403","4410","","10.1002/jsfa.8962","","","13","2.17","0","0","0","0","0","0","0","0","1","3","2","4","3","0"
"Fatty acids and starch properties of high-oil maize hybrids during nixtamalization and tortilla-making process","Ernesto Preciado-Ortiz, Ricardo; Gricelda Vazquez-Carrillo, Maria; de Dios Figueroa-Cardenas, Juan; Horacio Guzman-Maldonado, Salvador; Santiago-Ramos, David; Topete-Betancourt, Alfonso","","","","JOURNAL OF CEREAL SCIENCE","SEP 2018","2018","83","","","","","171","179","","10.1016/j.jcs.2018.08.015","","","13","2.17","0","0","0","0","0","0","0","0","0","4","4","4","1","0"
"Physicochemical, Thermal, and Sensory Properties of Blue Corn (Zea Mays L.)","Mutlu, Ceren; Arslan-Tontul, Sultan; Candal, Cihadiye; Kilic, Ozlem; Erbas, Mustafa","","","","JOURNAL OF FOOD SCIENCE","JAN 2018","2018","83","1","","","","53","59","","10.1111/1750-3841.14014","","","13","2.17","0","0","0","0","0","0","0","0","1","2","1","6","3","0"
"Effect of different calcium sources on the bioactive compounds stability of extruded and nixtamalized blue maize flours","Angel Sanchez-Madrigal, Miguel; Quintero-Ramos, Armando; Martinez-Bustos, Fernando; Melendez-Pizarro, Carmen O.; Ruiz-Gutierrez, Martha G.; Camacho-Davila, Alejandro; Isabel Torres-Chavez, Patricia; Ramirez-Wong, Benjamin","","","","JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE","MAY 2015","2015","52","5","","","","2701","2710","","10.1007/s13197-014-1307-9","","","13","1.44","0","0","0","0","1","0","3","2","2","2","2","1","0","0"
"Obtaining Ready-to-Eat Blue Corn Expanded Snacks with Anthocyanins Using an Extrusion Process and Response Surface Methodology","Escalante-Aburto, Anayansi; Ramirez-Wong, Benjamin; Isabel Torres-Chavez, Patricia; Lopez-Cervantes, Jaime; de Dios Figueroa-Cardenas, Juan; Manuel Barron-Hoyos, Jesus; Morales-Rosas, Ignacio; Ponce-Garcia, Nestor; Gutierrez-Dorado, Roberto","","","","MOLECULES","DEC 2014","2014","19","12","","","","21066","21084","","10.3390/molecules191221066","","","13","1.30","0","0","0","0","0","1","3","1","0","1","1","4","2","0"
"Non-isothermal autohydrolysis of nixtamalized maize pericarp: Production of nutraceutical extracts","Rostro, Magdalena; Sanchez-Gonzalez, Monica; Rivas, Sandra; Moure, Andres; Dominguez, Herminia; Parajo, Juan Carlos","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","OCT 2014","2014","58","2","","","","550","556","","10.1016/j.lwt.2014.03.043","","","13","1.30","0","0","0","0","0","1","0","1","2","4","2","1","2","0"
"Functional properties of extruded corn flour obtained at low temperature","Contreras-Jimenez, B.; Morales-Sanchez, E.; Reyes-Vega, M. L.; Gaytan-Martinez, M.","","","","CYTA-JOURNAL OF FOOD","AUG 2014","2014","12","3","","","","263","270","","10.1080/19476337.2013.840804","","","13","1.30","0","0","0","0","0","0","0","1","1","2","4","3","1","1"
"Effect of steeping time and calcium hydroxide concentration on the water absorption and pasting profile of corn grits","Contreras-Jimenez, Brenda; Gaytan-Martinez, Marcela; de Dios Figueroa-Cardenas, Juan; Avalos-Zuniga, Raul A.; Morales-Sanchez, Eduardo","","","","JOURNAL OF FOOD ENGINEERING","FEB 2014","2014","122","","","","","72","77","","10.1016/j.jfoodeng.2013.09.005","","","13","1.30","0","0","0","0","0","1","1","1","0","4","3","2","1","0"
"THE NIXTAMALIZATION PROCESS AND ITS EFFECT ON ANTHOCYANIN CONTENT OF PIGMENTED MAIZE, A REVIEW","Escalante-Aburto, Anayansi; Ramirez-Wong, Benjamin; Torres-Chavez, Patricia I.; Manuel Barron-Hoyos, J.; de Dios Figueroa-Cardenas, Juan; Lopez-Cervantes, Jaime","","","","REVISTA FITOTECNIA MEXICANA","OCT-DEC 2013","2013","36","4","","","","429","437","","","","","13","1.18","0","0","0","0","0","1","2","2","0","1","4","3","0","0"
